time,1d_next_raw,SIZE,SIZENL,LIQUIDITY,BETA,RESVOL,MOMENTUM,LEVERAGE,VALUE,EARNYLD,GROWTH,LTREV,STREV,price
2015-01-05 10:00:00,-0.090697676,-0.035023797,0.24747135,1.1532856,0.5947305,0.3636983,0.40491134,1.6965408,0.67988044,-0.21601881,0.68601495,0.70498997,-1.7419952,18.231581298085313
2015-01-06 10:00:00,-0.05200341,-0.09743318,0.3154648,1.1814511,0.6391832,0.43760508,0.45669627,1.7338976,0.83543974,-0.19144662,0.68415457,0.70649403,-1.9680369,16.57801927337525
2015-01-07 10:00:00,0.007194245,-0.17049995,0.37623146,1.2059089,0.5855147,0.5788317,0.48769018,1.7396029,1.0445534,-0.15313044,0.68598735,0.7304012,-1.8724223,15.715905739124704
2015-01-08 10:00:00,-0.020535715,-0.1788025,0.38947004,1.206767,0.46899235,0.5662685,0.5130918,1.737682,1.0835114,-0.14688663,0.6853579,0.734881,-1.5742236,15.82896980919035
2015-01-09 10:00:00,-0.037374657,-0.18427794,0.3916137,1.1965858,0.4196079,0.63023996,0.5473409,1.7475669,1.1623907,-0.12637582,0.6874988,0.75272524,-1.0321426,15.50391060775162
2015-01-12 10:00:00,-0.017045455,-0.18242182,0.39225948,1.1875317,0.45437416,0.61151093,0.5848997,1.7445999,1.1320876,-0.12790324,0.68774277,0.7575848,-0.6174146,14.924457248665188
2015-01-13 10:00:00,0.007707129,-0.22912803,0.4349461,1.1881585,0.5183794,0.72810155,0.60161424,1.7490226,1.2428994,-0.10427774,0.68719965,0.76876694,-0.49092013,14.670063091017486
2015-01-14 10:00:00,0.01625239,-0.23702319,0.43760502,1.1986432,0.5757158,0.7120053,0.60870093,1.7534609,1.2927476,-0.09374893,0.6870589,0.7769425,-0.19729961,14.783127161083131
2015-01-15 10:00:00,0.03480715,-0.22463292,0.42379838,1.1947793,0.59207755,0.7243557,0.6155772,1.7509327,1.2029052,-0.10493413,0.68632716,0.7710746,0.095658444,15.023388309972628
2015-01-16 10:00:00,-0.056363635,-0.21811567,0.4253755,1.2124043,0.58689356,0.6092825,0.6259585,1.7430438,1.1116053,-0.12650014,0.68400913,0.7558222,0.32371977,15.546309634026237
2015-01-19 10:00:00,-0.027938344,-0.22175063,0.42865318,1.22133,0.60210085,0.6143664,0.6587689,1.7462943,1.1363186,-0.11816437,0.6846055,0.7594955,0.13585912,14.670063091017486
2015-01-20 10:00:00,-0.0029732408,-0.22182843,0.41981965,1.2085975,0.64084697,0.7392064,0.6977539,1.7656758,1.2663947,-0.096278824,0.6873518,0.7791507,-0.09764236,14.26020583702952
2015-01-21 10:00:00,0.08449304,-0.19860636,0.3921106,1.2139121,0.65420145,0.65983963,0.7281797,1.7718247,1.2644008,-0.092077,0.6882062,0.78548694,0.03912958,14.217806810754904
2015-01-22 10:00:00,-0.014665444,-0.17753689,0.37830833,1.2249299,0.63977385,0.7014815,0.747942,1.7671473,1.124685,-0.12163088,0.6850289,0.77919793,0.31241488,15.419112555202386
2015-01-23 10:00:00,0.0,-0.18884107,0.3819233,1.2281572,0.6342987,0.72151005,0.7631102,1.7633213,1.1903206,-0.097448304,0.6860568,0.78773654,0.27366835,15.192984415071095
2015-01-26 10:00:00,-0.0037209303,-0.19586629,0.3955932,1.224751,0.6483321,0.77862346,0.754231,1.7558701,1.206008,-0.08978244,0.6835995,0.7830206,0.14740333,15.192984415071095
2015-01-27 10:00:00,-0.048552755,-0.2241541,0.41853628,1.2107385,0.65132296,0.6594814,0.71542984,1.7622882,1.2971587,-0.07423477,0.68373907,0.7933422,0.06546805,15.136452380038273
2015-01-28 10:00:00,-0.0058881254,-0.24157344,0.42872238,1.199979,0.63832635,0.65432554,0.6868008,1.766968,1.4023434,-0.059090447,0.68867224,0.799915,0.28343055,14.401535924611577
2015-01-29 10:00:00,0.011846002,-0.24404709,0.4272881,1.182221,0.6546224,0.677882,0.65939325,1.7709632,1.4542469,-0.047160864,0.68588895,0.80915976,0.5372255,14.316737872062344
2015-01-30 10:00:00,-0.017560976,-0.22786109,0.409074,1.155854,0.6829898,0.70948374,0.6323256,1.7805841,1.4471747,-0.05228493,0.6856855,0.8142866,0.81916815,14.486333977160811
2015-02-02 10:00:00,-0.016881827,-0.19773987,0.3818925,1.1502911,0.70627075,0.67008525,0.6175187,1.776071,1.3791226,-0.059513353,0.68535274,0.8205353,0.91771924,14.23193981951311
2015-02-03 10:00:00,0.01010101,-0.18951721,0.36514673,1.128385,0.71454066,0.7068982,0.6107849,1.7818397,1.3897742,-0.05410359,0.68855923,0.83068657,0.78460985,13.991678670623614
2015-02-04 10:00:00,0.013,-0.20896295,0.3860721,1.0856987,0.67153037,0.66276264,0.55796546,1.7818435,1.4275655,-0.043820288,0.6899959,0.81421614,0.6331251,14.13300875820567
2015-02-05 10:00:00,-0.044422507,-0.21269646,0.38847232,1.0609428,0.65443873,0.6077347,0.50935906,1.7813852,1.4667008,-0.03903186,0.69068044,0.8141923,0.5926226,14.316737872062344
2015-02-06 10:00:00,-0.07334711,-0.21244466,0.38506112,1.0473566,0.66475093,0.5805653,0.48348024,1.7824367,1.4443058,-0.04035218,0.69097406,0.8146788,0.67641324,13.680752477943088
2015-02-09 10:00:00,0.025641026,-0.2616292,0.43472594,1.0432037,0.683928,0.6123744,0.45759964,1.782732,1.61193,-0.012333526,0.6880096,0.81154776,0.69994545,12.677308856110487
2015-02-10 10:00:00,0.04347826,-0.27579185,0.45202807,1.0603405,0.7086182,0.6056664,0.44091713,1.7852534,1.6186725,-0.014116697,0.6858519,0.7939653,0.8716352,13.002368057549216
2015-02-11 10:00:00,-0.015625,-0.27341285,0.45067757,1.0471795,0.7232774,0.5561874,0.41949707,1.7779104,1.6119436,-0.014835364,0.6864442,0.7886206,1.0639522,13.567688407877442
2015-02-12 10:00:00,0.013756614,-0.25498036,0.43340024,1.0372243,0.7194515,0.529846,0.39796463,1.7769186,1.5453571,-0.023652356,0.68448335,0.7871098,1.2608163,13.355693276504356
2015-02-13 10:00:00,0.008350731,-0.25637648,0.4329227,1.0337533,0.73260474,0.5502399,0.38430086,1.7813478,1.5543485,-0.012157651,0.6841492,0.7773929,1.111259,13.539422390361032
2015-02-16 10:00:00,0.027950311,-0.24481246,0.4196913,1.0163192,0.7514342,0.51154625,0.36981082,1.7827691,1.5484605,-0.012062887,0.6872744,0.7707622,0.97752553,13.652486460426678
2015-02-17 10:00:00,-0.0010070493,-0.23182149,0.40568414,0.99948853,0.7727677,0.5060647,0.35815275,1.78854,1.5459477,-0.010890545,0.68825597,0.7675778,0.8648727,14.03407769689823
2015-02-25 10:00:00,-0.0050403224,-0.21187678,0.38116074,0.9874875,0.78360796,0.55896765,0.34863502,1.783006,1.5175424,-0.01660285,0.6886795,0.7521463,0.7850523,14.019944688140024
2015-02-26 10:00:00,0.04255319,-0.23066518,0.3985401,0.99071354,0.7942651,0.49189445,0.343905,1.7843144,1.6073382,0.0032886846,0.68947566,0.7375078,0.62159216,13.949279644348994
2015-02-27 10:00:00,-0.009718173,-0.21272764,0.38489646,0.9714455,0.801595,0.5309006,0.31773025,1.7795448,1.5188973,-0.022743419,0.69063854,0.72083515,0.6230995,14.542866012193633
2015-03-02 10:00:00,-0.024533857,-0.22420424,0.3954611,0.9703345,0.80036235,0.5190224,0.28322202,1.7817099,1.5797434,-0.001978256,0.6925302,0.7149747,0.51987606,14.401535924611577
2015-03-03 10:00:00,-0.0090543255,-0.2226099,0.393145,0.9362519,0.7832943,0.55444294,0.2549826,1.7835327,1.613581,0.0035735208,0.6960999,0.7038626,0.55835515,14.048210705656436
2015-03-04 10:00:00,-0.017258883,-0.23378752,0.3974155,0.9389548,0.7907678,0.4797991,0.21916911,1.7874217,1.6791033,0.020603545,0.69714844,0.71321416,0.5275103,13.921013626832584
2015-03-05 10:00:00,-0.0020661156,-0.22929339,0.39135703,0.9262202,0.77341616,0.43908527,0.19772111,1.7917935,1.703282,0.02883884,0.6967756,0.7148047,0.70177454,13.680752477943088
