time,1d_next_raw_596,1d_next_raw_729,1d_next_raw_848,1d_next_raw_869,1d_next_raw_895,1d_next_raw_2304,1d_next_raw_2646,1d_next_raw_600059,1d_next_raw_600132,1d_next_raw_600298,1d_next_raw_600519,1d_next_raw_600600,1d_next_raw_603288,SIZE_596,SIZE_729,SIZE_848,SIZE_869,SIZE_895,SIZE_2304,SIZE_2646,SIZE_600059,SIZE_600132,SIZE_600298,SIZE_600519,SIZE_600600,SIZE_603288,SIZENL_596,SIZENL_729,SIZENL_848,SIZENL_869,SIZENL_895,SIZENL_2304,SIZENL_2646,SIZENL_600059,SIZENL_600132,SIZENL_600298,SIZENL_600519,SIZENL_600600,SIZENL_603288,LIQUIDITY_596,LIQUIDITY_729,LIQUIDITY_848,LIQUIDITY_869,LIQUIDITY_895,LIQUIDITY_2304,LIQUIDITY_2646,LIQUIDITY_600059,LIQUIDITY_600132,LIQUIDITY_600298,LIQUIDITY_600519,LIQUIDITY_600600,LIQUIDITY_603288,BETA_596,BETA_729,BETA_848,BETA_869,BETA_895,BETA_2304,BETA_2646,BETA_600059,BETA_600132,BETA_600298,BETA_600519,BETA_600600,BETA_603288,RESVOL_596,RESVOL_729,RESVOL_848,RESVOL_869,RESVOL_895,RESVOL_2304,RESVOL_2646,RESVOL_600059,RESVOL_600132,RESVOL_600298,RESVOL_600519,RESVOL_600600,RESVOL_603288,MOMENTUM_596,MOMENTUM_729,MOMENTUM_848,MOMENTUM_869,MOMENTUM_895,MOMENTUM_2304,MOMENTUM_2646,MOMENTUM_600059,MOMENTUM_600132,MOMENTUM_600298,MOMENTUM_600519,MOMENTUM_600600,MOMENTUM_603288,LEVERAGE_596,LEVERAGE_729,LEVERAGE_848,LEVERAGE_869,LEVERAGE_895,LEVERAGE_2304,LEVERAGE_2646,LEVERAGE_600059,LEVERAGE_600132,LEVERAGE_600298,LEVERAGE_600519,LEVERAGE_600600,LEVERAGE_603288,VALUE_596,VALUE_729,VALUE_848,VALUE_869,VALUE_895,VALUE_2304,VALUE_2646,VALUE_600059,VALUE_600132,VALUE_600298,VALUE_600519,VALUE_600600,VALUE_603288,EARNYLD_596,EARNYLD_729,EARNYLD_848,EARNYLD_869,EARNYLD_895,EARNYLD_2304,EARNYLD_2646,EARNYLD_600059,EARNYLD_600132,EARNYLD_600298,EARNYLD_600519,EARNYLD_600600,EARNYLD_603288,GROWTH_596,GROWTH_729,GROWTH_848,GROWTH_869,GROWTH_895,GROWTH_2304,GROWTH_2646,GROWTH_600059,GROWTH_600132,GROWTH_600298,GROWTH_600519,GROWTH_600600,GROWTH_603288,LTREV_596,LTREV_729,LTREV_848,LTREV_869,LTREV_895,LTREV_2304,LTREV_2646,LTREV_600059,LTREV_600132,LTREV_600298,LTREV_600519,LTREV_600600,LTREV_603288,STREV_596,STREV_729,STREV_848,STREV_869,STREV_895,STREV_2304,STREV_2646,STREV_600059,STREV_600132,STREV_600298,STREV_600519,STREV_600600,STREV_603288,price_596,price_729,price_848,price_869,price_895,price_2304,price_2646,price_600059,price_600132,price_600298,price_600519,price_600600,price_603288
2015-01-05 10:00:00,0.046008117,0.02345679,0.041009463,0.035794184,0.084529005,0.09310215,0.050799623,0.02787068,0.014136448,0.033653848,0.049222257,0.024183797,-0.004962779,-1.0519778,-0.5625827,-1.318389,-0.935884,0.6390252,0.8555272,-1.4608643,-1.7686793,-1.683479,-1.9519063,1.5739487,-0.2873229,0.4849014,1.0148596,0.71853006,1.0749952,0.9635009,-0.34864148,-0.4918997,1.0689176,0.94779074,0.9972821,0.795822,-0.61417794,0.4832787,-0.22728708,0.89549905,-0.7512276,-0.025379796,-0.58687365,-0.6853769,-2.0651836,0.39612332,1.2520113,0.0134459995,0.7433686,-1.5522333,-1.1528811,-1.6463176,0.36566365,-0.89793134,-0.8633064,-0.18720321,-1.2580007,-1.0369457,-0.7201985,-0.6550345,-0.97428054,-1.3810211,-1.4299443,-1.5310111,-1.2086822,0.527904,-1.2343705,-0.6741363,-0.8480364,-0.5934611,-0.041051902,-0.958692,-1.1815451,-1.2278355,-0.6744882,-0.74302673,-1.3108153,-1.060722,-0.02944453,-0.46714225,-0.3259855,-0.60444325,-1.1999907,-0.19755143,-0.6420458,-0.8839641,-0.72236544,-0.34641838,-0.31256345,-0.6727378,-0.38912624,-0.91389245,-0.96374154,-1.0769688,-1.0853846,-1.1258118,-0.9167199,-1.1825031,-1.3461841,0.09767517,-0.3872662,-1.2546972,-0.48472038,-1.1887836,-1.1070921,0.414803,-1.9189361,-0.4097082,-1.4051584,-1.3828654,-1.3833244,-0.08310144,-1.4773028,-0.11984964,-1.3509295,0.05785568,-1.9046346,-0.24043633,-0.06602312,-0.2657736,0.07967996,0.04883176,-0.12162544,-0.3170238,-0.64275485,-0.5907859,-0.12427735,0.14064962,0.15677458,-0.31728175,-0.13647817,-0.68368423,-0.0292066,-0.5134078,-0.7791183,-0.23563324,-0.45248204,0.08840188,0.09868373,0.17533047,0.6943795,0.3063865,-0.11288071,0.6310664,0.01689967,-1.2325441,1.4758381,-0.6854122,1.5759104,0.56209195,0.2901137,0.42519408,0.9535839,0.6228636,-0.617165,0.0,-1.0034083,0.49089095,0.96895665,0.047942676,0.4481959,-0.6945316,-0.083819255,0.7237705,1.0568244,1.295492,0.11515861,0.86358863,0.948026,78.21353626767477,17.39539980117321,65.78646938443143,52.550457244001315,71.42574892602278,208.627070074355,22.08565646232882,14.471563882130992,17.10297654893865,19.49480316267348,256.9782221785873,43.28554090356833,81.16237789561819
2015-01-06 10:00:00,-0.0090556275,0.015681544,0.025974026,0.0018898488,-0.016105838,0.005632184,-0.0129812,0.007592191,0.008484849,0.0056847543,-0.011939704,-0.0011806375,0.03266833,-1.0254354,-0.559084,-1.3190787,-0.89412683,0.62378895,0.9002627,-1.456461,-1.7636037,-1.6933917,-1.9405732,1.5434337,-0.31471995,0.44853434,1.0150697,0.7249704,1.0877258,0.9519002,-0.32903263,-0.5092884,1.0835074,0.9688638,1.0089474,0.8277488,-0.6205982,0.5169631,-0.18825802,0.8970043,-0.74158317,-0.01983897,-0.57706094,-0.66864216,-2.0331407,0.39964947,1.2530482,0.014067121,0.7427233,-1.5430223,-1.12984,-1.6184024,0.40532124,-0.8539909,-0.8398518,-0.18320419,-1.2224308,-0.9753718,-0.71658486,-0.6621541,-0.9852162,-1.3744104,-1.3731452,-1.5064032,-1.2171849,0.5979458,-1.2116036,-0.65558845,-0.7485057,-0.553649,0.13933533,-0.9456664,-1.196222,-1.2478521,-0.67805994,-0.64502597,-1.3080893,-1.0843254,-0.03999143,-0.45881873,-0.33880642,-0.5982688,-1.1965235,-0.19632846,-0.6423773,-0.8832771,-0.7263554,-0.35878563,-0.29602098,-0.6692162,-0.40739655,-0.91830045,-0.9680237,-1.0810446,-1.0901028,-1.129808,-0.92131746,-1.1864113,-1.3498307,0.0955683,-0.39208034,-1.2585055,-0.48692888,-1.1926643,-1.1673721,0.3832549,-1.9532799,-0.51036114,-1.4367253,-1.4758451,-1.4134347,-0.092969604,-1.4929554,-0.14014378,-1.4140733,0.09312284,-1.9293712,-0.25555244,-0.07387962,-0.2665856,0.043800514,0.044933017,-0.16109526,-0.31947115,-0.64450693,-0.59017277,-0.12804063,0.11069588,0.17117682,-0.31077534,-0.1394063,-0.6873223,-0.031996474,-0.5168253,-0.7828823,-0.23869056,-0.4558208,0.08576564,0.09606305,0.17280845,0.6925293,0.30403304,-0.11577884,0.5923346,0.0013855544,-1.2360474,1.4726034,-0.68776107,1.5697427,0.54239666,0.30379057,0.4207081,0.95064497,0.6178666,-0.6329519,0.0,-1.0066211,0.38947225,0.875212,0.19119512,0.386158,-0.6045158,-0.075725704,0.8025533,1.1034627,1.2814127,0.116669215,0.77338105,0.95025486,81.81199395793313,17.80344004342295,68.48433721407689,54.43145795072172,77.46329663623867,228.05069853585732,23.207599499925955,14.874896208834754,17.344751878149214,20.15087826910961,269.6272702793498,44.332349631586915,80.75958693831986
2015-01-07 10:00:00,-0.041775458,-0.014251782,-0.046413504,-0.01562921,-0.009061678,-0.028117498,-0.011337869,0.009687836,-0.004206731,0.007194245,-0.02109662,-0.0047281324,-0.0031393382,-1.0570624,-0.5594897,-1.3107686,-0.9286644,0.6587993,0.8963226,-1.4775157,-1.7761639,-1.6994964,-1.9268855,1.5789807,-0.31505817,0.47044158,1.0224057,0.71892923,1.0816776,0.96473676,-0.36668304,-0.5194327,1.0745058,0.9531129,0.9986995,0.831813,-0.62159175,0.50990456,-0.21774985,0.88562435,-0.73759717,-0.033158775,-0.56916344,-0.66657454,-2.0397806,0.3912928,1.246772,-0.003220893,0.7256384,-1.5545859,-1.1217582,-1.6181172,0.38589704,-0.82866794,-0.8223718,-0.18588038,-1.1709987,-0.91054595,-0.72258186,-0.6652903,-0.9808417,-1.3155477,-1.3217697,-1.4628725,-1.1798468,0.57391435,-1.2610161,-0.7066554,-0.785141,-0.57777315,0.1255508,-0.9737659,-1.2551166,-1.265719,-0.70470965,-0.6176366,-1.3259294,-1.107717,-0.06595904,-0.46720153,-0.3617804,-0.60706735,-1.2190998,-0.20927839,-0.65838987,-0.9013862,-0.7424138,-0.38495487,-0.29284942,-0.68798184,-0.43445203,-0.9068036,-0.9567617,-1.0696421,-1.0783536,-1.1183128,-0.9099105,-1.1748595,-1.3382393,0.09912816,-0.385224,-1.2469321,-0.4777148,-1.1811526,-1.1213405,0.36377773,-1.9356319,-0.4515543,-1.4539846,-1.4541949,-1.3819407,-0.0842715,-1.4759915,-0.18914603,-1.3679827,0.08043887,-1.9167992,-0.24411573,-0.07773698,-0.27440116,0.06520778,0.017285792,-0.15989186,-0.31462315,-0.6450418,-0.5917972,-0.14236392,0.13341948,0.16736157,-0.32154286,-0.13795967,-0.686253,-0.030228306,-0.5155553,-0.78131443,-0.2371646,-0.4544158,0.08733196,0.09704296,0.17405063,0.69456244,0.3057627,-0.11414896,0.57398325,0.0005354828,-1.2254227,1.4908379,-0.6727622,1.5779997,0.5365158,0.3348217,0.43220642,0.9633321,0.6297732,-0.62937814,0.0,-1.0110235,0.37851027,0.89629924,0.13252808,0.40801883,-0.75717187,-0.018968208,0.8558633,1.1494995,1.1772052,-0.11178712,0.709305,0.98268425,81.07113502170347,18.08262547233067,70.26315116768927,54.534325176870496,76.2156853012863,229.3351220103696,22.90633701760821,14.987829260311806,17.491919469842603,20.265431065471475,266.40800034914514,44.28000919518598,83.39786770862406
2015-01-08 10:00:00,0.011716621,0.018072288,0.017699115,0.0052012047,-0.0147492625,0.0075267553,-0.0036697248,0.0,0.0018105009,0.0,-0.015070466,0.011163896,0.00750969,-1.0942011,-0.5893927,-1.328784,-0.92840534,0.6625887,0.86947274,-1.4880415,-1.7509847,-1.6935303,-1.9356532,1.5594616,-0.3307536,0.45195302,1.0422027,0.7483752,1.089233,0.970851,-0.36506495,-0.50031465,1.0791371,0.9755957,1.0081965,0.8295995,-0.62364537,0.5296925,-0.19747116,0.87289506,-0.7376185,-0.050791256,-0.5647825,-0.6491261,-2.0450122,0.38093278,1.2348386,-0.019378226,0.7178547,-1.5695624,-1.1146802,-1.6194298,0.28202054,-0.8558644,-0.84612834,-0.17986028,-1.1392279,-0.88213044,-0.77281934,-0.6522418,-0.99544144,-1.2997247,-1.3450699,-1.4729961,-1.1827829,0.56119716,-1.2966383,-0.77742195,-0.8191279,-0.62221485,0.07676431,-1.0088037,-1.3082236,-1.3165438,-0.78583205,-0.6491233,-1.2979293,-1.2036942,-0.094273984,-0.47577623,-0.38821018,-0.61654603,-1.2544671,-0.22557725,-0.6742101,-0.9212782,-0.7626558,-0.40725803,-0.29500887,-0.7115978,-0.4635572,-0.90907705,-0.9588868,-1.0722059,-1.0809672,-1.1209718,-0.91222334,-1.1775578,-1.3411942,0.09898588,-0.38578334,-1.2497119,-0.4777841,-1.1838675,-1.062794,0.45649734,-1.9169625,-0.4407212,-1.4485795,-1.4195069,-1.3605332,-0.12713486,-1.4709225,-0.15697096,-1.3297712,0.1293689,-1.898213,-0.2207424,-0.05116063,-0.26068,0.07093268,0.019176634,-0.14028797,-0.3049336,-0.64321744,-0.5864377,-0.12918478,0.16163926,0.18676902,-0.30890805,-0.13704962,-0.6842275,-0.029724386,-0.51394004,-0.77952176,-0.23616429,-0.4529951,0.08781042,0.09794989,0.17464274,0.6937686,0.30578697,-0.11341345,0.55007863,-0.017225666,-1.22372,1.4926171,-0.6637227,1.5710726,0.5195001,0.3452627,0.42561114,0.9571537,0.62912714,-0.63678664,0.0,-0.8711182,0.38084742,0.92368525,0.13859259,0.3700944,-0.9188719,0.15820079,0.9260876,1.2537951,1.1351585,-0.10990588,0.73968977,0.9897795,77.68435131322501,17.824915845646625,67.00199225273323,53.68199673163782,75.52504331229481,222.88679191383847,22.646627981127388,15.133028897925163,17.41833567399591,20.41122553356839,260.78769159599614,44.07064744958227,83.13605358638014
2015-01-09 10:00:00,-0.035281442,0.00591716,-0.035652176,-0.019607844,-0.002994012,-0.029998833,-0.0359116,-0.030916844,-0.0042168675,-0.027040817,-0.012011071,-0.032887008,-0.016109642,-1.047241,-0.5508947,-1.295408,-0.8964115,0.6872373,0.9074371,-1.4749781,-1.7331975,-1.6721427,-1.9115098,1.5686171,-0.30104652,0.5113893,1.023189,0.7167116,1.0828278,0.95281595,-0.390259,-0.52845156,1.0746465,0.97375196,1.0078931,0.83431244,-0.6206686,0.5004509,-0.2542223,0.8574727,-0.7348045,-0.049767215,-0.56985897,-0.64952826,-2.047613,0.36991373,1.2596148,-0.027507173,0.6964704,-1.5812954,-1.1243447,-1.6160433,0.29732907,-0.81249523,-0.79887855,-0.14750712,-1.0685169,-0.8140989,-0.73812157,-0.60528284,-0.9506294,-1.2327768,-1.271735,-1.4133626,-1.1156367,0.46664435,-1.2781283,-0.82988214,-0.84156334,-0.6776993,0.044754997,-1.0411972,-1.3263522,-1.3279169,-0.8269053,-0.6630024,-1.3460922,-1.249903,-0.09980294,-0.47734725,-0.40293735,-0.6175651,-1.2747576,-0.22987965,-0.6830347,-0.93842334,-0.7772044,-0.42614836,-0.28582445,-0.72913635,-0.48633876,-0.9009771,-0.9509039,-1.0641587,-1.0730596,-1.1129731,-0.9040409,-1.1695896,-1.3334048,0.10431801,-0.37794366,-1.2418486,-0.4696259,-1.175951,-1.0916445,0.39978,-1.9074028,-0.46407372,-1.4331917,-1.4159882,-1.3463398,-0.1372496,-1.4643638,-0.1823127,-1.3249116,0.10600844,-1.8972242,-0.2297241,-0.05538755,-0.2630679,0.0681102,0.028290983,-0.13969998,-0.2988266,-0.6407173,-0.5833737,-0.12836502,0.16396779,0.18808992,-0.31731322,-0.13557708,-0.68329126,-0.027958421,-0.5127735,-0.77824974,-0.23467658,-0.45169815,0.089476414,0.099174544,0.17610179,0.6960657,0.3076765,-0.11179078,0.5604473,-0.018745923,-1.2092186,1.5115885,-0.6369887,1.5849557,0.5285788,0.36613137,0.43235955,0.96448064,0.64880824,-0.626827,0.0,-0.7087795,0.44421107,0.9356826,0.07997545,0.20648006,-1.0350405,0.25748456,0.8436078,1.268099,1.0564756,-0.02123977,0.85262793,1.0310858,78.59454943487859,18.14705287900168,68.18786822180815,53.96120777404162,74.41110462037305,224.56440624789536,22.563521089453523,15.133028897925163,17.449871586501637,20.41122553356839,256.85749955620463,44.562647551751,83.76037957019258
2015-01-12 10:00:00,-0.039642658,0.025882352,-0.0027051398,-0.012222222,-0.003903904,0.011311673,-0.020057306,-0.00990099,-0.015124017,0.00052438385,-0.015222792,0.0019431625,0.0141739985,-1.0791942,-0.5354881,-1.3180169,-0.9027016,0.66622776,0.8860417,-1.4907218,-1.7499099,-1.6663473,-1.9323964,1.5593122,-0.30983192,0.48832855,1.036815,0.70583874,1.0871702,0.95766425,-0.37061533,-0.51243114,1.075675,0.9699473,1.0165198,0.82321763,-0.6224138,0.5105431,-0.23080903,0.85157657,-0.725578,-0.057314903,-0.57901454,-0.65646654,-2.0375793,0.3653811,1.2729021,-0.028051144,0.68941367,-1.5972015,-1.1338499,-1.6048063,0.32830027,-0.80353385,-0.7928768,-0.1386678,-1.0538832,-0.77956766,-0.73015594,-0.6012187,-0.94943386,-1.244996,-1.2341524,-1.3951018,-1.1114087,0.42065963,-1.2191217,-0.7994276,-0.7816942,-0.64532816,0.0655643,-1.0162691,-1.2826828,-1.2956847,-0.82742834,-0.64024854,-1.26799,-1.1872231,-0.08421885,-0.47388628,-0.41073093,-0.60035694,-1.2818596,-0.20926207,-0.6761549,-0.94756997,-0.78331566,-0.44146252,-0.26343402,-0.7386629,-0.49638915,-0.90181184,-0.952111,-1.0649849,-1.0740497,-1.1137912,-0.90489864,-1.1703979,-1.3341541,0.10127773,-0.3785521,-1.2426342,-0.4712709,-1.1767452,-1.0523999,0.34236205,-1.8874292,-0.46083376,-1.4076426,-1.3895482,-1.3289361,-0.11666127,-1.4667424,-0.15360767,-1.3151103,0.11389328,-1.8754423,-0.21759251,-0.07138941,-0.2565179,0.06685249,0.040142182,-0.1297082,-0.29566526,-0.63946515,-0.58673143,-0.12355947,0.16406387,0.18979356,-0.31021062,-0.1370114,-0.6860813,-0.028635232,-0.5149764,-0.78015536,-0.2360632,-0.45356527,0.08852901,0.09707384,0.17460689,0.69671696,0.30729505,-0.11283498,0.5741421,-0.031516373,-1.205217,1.5176266,-0.6259549,1.5893381,0.53104174,0.38374746,0.43619528,0.9591759,0.66134554,-0.6243764,0.0,-0.5765317,0.53026587,0.95824385,0.17833702,0.080209315,-0.9810937,0.41815603,0.8168513,1.3087913,1.0415087,0.2131036,0.947667,0.94601506,75.82162027356183,18.254431890120035,65.75682248520455,52.9031448765114,74.18831688198871,217.82773618769818,21.753228895633374,14.665163398948797,17.376287790654942,19.859289332915775,253.77236587309184,43.097115332524986,82.4110298632431
2015-01-13 10:00:00,-0.023837209,-0.018348623,0.00090415915,-0.010123734,-0.017184203,-0.014754878,0.0014619883,0.0044444446,0.0036855037,0.008909853,-0.006816596,0.0,0.0115662655,-1.1314263,-0.47477615,-1.3157891,-0.9257539,0.6913863,0.90618175,-1.5118254,-1.7610445,-1.6778032,-1.912017,1.5506917,-0.30838597,0.5138454,1.0501658,0.6536591,1.0831032,0.9666068,-0.38695952,-0.5210085,1.0670458,0.9585346,1.0066125,0.8386012,-0.6215599,0.50782317,-0.2507144,0.8399008,-0.7073034,-0.069479614,-0.586925,-0.6566739,-2.044989,0.36036506,1.2911106,-0.034691684,0.6793633,-1.615731,-1.1517231,-1.6091771,0.40125856,-0.87409896,-0.8207873,-0.15401936,-1.0965104,-0.77822816,-0.731574,-0.6406114,-0.99255246,-1.3148817,-1.2461774,-1.4338025,-1.1721171,0.4663991,-1.2255727,-0.82580394,-0.74136835,-0.6512639,0.094866835,-1.0171902,-1.2900383,-1.2887689,-0.8250736,-0.6023912,-1.2393572,-1.1736408,-0.052515425,-0.46738237,-0.415218,-0.5827715,-1.2761061,-0.181608,-0.652315,-0.9461623,-0.78107,-0.447772,-0.24840222,-0.7431755,-0.49908954,-0.8924489,-0.943775,-1.0559565,-1.0649167,-1.1047282,-0.8958788,-1.1613356,-1.3252165,0.10341112,-0.3733765,-1.233625,-0.46455872,-1.1677501,-0.97101885,0.17118274,-1.8553517,-0.41886017,-1.4143627,-1.393345,-1.2857023,-0.093930714,-1.4313415,-0.19462535,-1.2897528,0.09244911,-1.8582276,-0.19291222,-0.11320138,-0.258821,0.08013225,0.013342829,-0.14794534,-0.28736225,-0.63699377,-0.5841881,-0.13644344,0.16390908,0.18115534,-0.32421193,-0.13740252,-0.68612486,-0.029601257,-0.5152985,-0.7812934,-0.23669367,-0.4541165,0.08806743,0.09782051,0.17487626,0.6957702,0.3066683,-0.11358289,0.60804975,-0.034575272,-1.1856424,1.5364115,-0.6060427,1.6053398,0.54973555,0.41388464,0.45023632,0.9615707,0.68491477,-0.61084604,0.0,-0.43251845,0.48024905,1.0275633,0.109224066,0.14325938,-0.8303712,0.51072013,0.7195339,1.1834073,1.0842767,0.30433142,0.99149805,0.9516455,72.81584973228719,18.72689953904079,65.57894108984333,52.25655088357626,73.89869282208906,220.29173224084425,21.316917714345596,14.519963761335443,17.11348851977389,19.869703223494124,249.90924195684624,43.180860030766475,83.57912363940832
2015-01-14 10:00:00,-0.029184038,-0.0011682243,-0.0036133695,-0.04744318,-0.016564418,-0.0544686,-0.028710462,-0.0044247787,0.0006119951,0.027012987,-0.009835711,-0.0019393939,-0.022153405,-1.1611186,-0.495949,-1.3092945,-0.92488873,0.67982376,0.90731895,-1.5056264,-1.7524728,-1.6749309,-1.9006498,1.5598525,-0.31051645,0.53053826,1.0536584,0.66739565,1.0770447,0.9623352,-0.38611734,-0.5289019,1.060896,0.95301706,0.9982559,0.83533514,-0.62171626,0.505321,-0.27154288,0.8398699,-0.6984532,-0.08429091,-0.5954711,-0.6629147,-2.0506358,0.35566038,1.2933513,-0.03882779,0.6641214,-1.6178956,-1.1596025,-1.606974,0.46223283,-0.9184446,-0.82349056,-0.14981273,-1.0921276,-0.77776057,-0.71523947,-0.64376223,-0.9979043,-1.3368413,-1.2392733,-1.4360634,-1.2278458,0.44233868,-1.1897581,-0.81710744,-0.7189941,-0.6467661,-0.018532889,-0.99219227,-1.2853992,-1.2678487,-0.80729413,-0.65824586,-1.2560841,-1.1490642,-0.020926898,-0.47060823,-0.4222172,-0.57631356,-1.2797933,-0.15932131,-0.6325698,-0.95287144,-0.7840519,-0.45889774,-0.23712815,-0.7585296,-0.5093212,-0.8862472,-0.9374118,-1.0498326,-1.0587003,-1.0985906,-0.8897733,-1.1551942,-1.3190339,0.105842195,-0.36826524,-1.2274672,-0.45752153,-1.1616107,-0.9193538,0.24000162,-1.8480264,-0.4066082,-1.3886987,-1.3786153,-1.2813363,-0.1018742,-1.4236646,-0.20815824,-1.2673949,0.115653135,-1.8536896,-0.17380702,-0.09579082,-0.25921798,0.0850421,0.029603846,-0.14223471,-0.28782776,-0.6378957,-0.5845382,-0.14061917,0.17898926,0.19067873,-0.32701203,-0.13780375,-0.6866822,-0.030007116,-0.51581913,-0.78195834,-0.23714422,-0.454633,0.087735415,0.097575925,0.17462373,0.6956041,0.30639666,-0.114001155,0.6531441,-0.029002583,-1.1770753,1.5605466,-0.5934848,1.6229838,0.57653046,0.44108,0.4608067,0.96796453,0.71178806,-0.5933756,0.0,-0.22159342,-0.041012585,0.9925768,0.13417186,0.06832411,-0.9357197,0.6541652,0.79299265,1.1299864,0.9882762,0.28684086,0.93101996,0.7080479,71.08012308169197,18.383286703462062,65.63823488829706,51.72751943481114,72.62880271329826,217.04135446860903,21.348082798723294,14.584496933608044,17.176560344785344,20.046739363326097,248.2057116187796,43.180860030766475,84.54582193692437
2015-01-15 10:00:00,0.030674847,-0.0023391813,0.009519492,0.031017,0.017155334,0.02145868,0.01503006,0.016666668,0.006116208,0.0005058169,0.017356183,0.003886325,0.024360536,-1.1952711,-0.48238665,-1.3190731,-0.97164166,0.6518688,0.85629386,-1.5404316,-1.771444,-1.6743827,-1.8925992,1.5740222,-0.29905492,0.5226838,1.060022,0.6533971,1.0767785,0.98275936,-0.36647448,-0.50157785,1.0529858,0.94418573,1.0011472,0.8485958,-0.6219682,0.49247283,-0.26591054,0.8342369,-0.69360524,-0.091709316,-0.5957675,-0.65508777,-2.0708656,0.35030645,1.2715473,-0.055587705,0.6535976,-1.6182641,-1.1627791,-1.6181308,0.50537777,-0.9453968,-0.8170839,-0.1323231,-1.0780721,-0.7554373,-0.69359046,-0.64736027,-0.9976911,-1.3439012,-1.2295647,-1.4330262,-1.2310766,0.48626098,-1.1936544,-0.8345644,-0.70175403,-0.66802436,-0.020469747,-0.99681485,-1.2823744,-1.2904308,-0.842568,-0.64847267,-1.2851336,-1.1327701,0.0025607254,-0.4858415,-0.43907073,-0.57676303,-1.2896595,-0.1348428,-0.62642324,-0.9651222,-0.79437166,-0.48075384,-0.229444,-0.7754338,-0.524545,-0.88907933,-0.94061786,-1.0528052,-1.06113,-1.101541,-0.8925106,-1.158126,-1.3220478,0.10306976,-0.3738252,-1.2304591,-0.46311378,-1.1645939,-0.8950815,0.1718377,-1.85207,-0.34880272,-1.3754395,-1.3430803,-1.2634546,-0.09783209,-1.4395763,-0.25886554,-1.270522,0.056207057,-1.8570584,-0.16288209,-0.11361191,-0.26204163,0.11173402,0.042782526,-0.11845664,-0.2796966,-0.6390823,-0.5901289,-0.15634811,0.17985961,0.17047268,-0.32939914,-0.13812473,-0.68655413,-0.030777479,-0.5159522,-0.7825757,-0.2375994,-0.45495194,0.08728152,0.09797984,0.1746591,0.69458145,0.30574486,-0.11458522,0.6824288,-0.02376094,-1.1836789,1.575246,-0.5945488,1.6294352,0.5894366,0.45539808,0.46219265,0.9594769,0.72755516,-0.5886659,0.0,0.3699415,-0.29805008,1.0459008,0.29429665,0.12734243,-0.8719567,0.8033728,0.88133204,1.1222435,0.9156948,0.41656438,0.96750593,0.6092012,69.00571806024891,18.36181090123839,65.40105969448207,49.273401325261865,71.42574892602278,205.21941595830197,20.735169472628563,14.519963761335443,17.187072315620586,20.58826167340036,245.76443192170774,43.097115332524986,82.67284398548702
2015-01-16 10:00:00,-0.018452382,-0.01641266,-0.030085316,0.0066531673,0.0036798527,-0.014505439,-0.008390918,-0.020765027,-0.012158055,-0.0010111224,-0.020171674,0.004113235,0.03828775,-1.2169509,-0.5349966,-1.3572223,-1.0053622,0.6101547,0.80281436,-1.5705178,-1.7965417,-1.7107786,-1.9236565,1.5515329,-0.34627825,0.47026208,1.0742238,0.7033686,1.0894649,1.0056634,-0.32422745,-0.45876145,1.060354,0.9497221,1.0020518,0.8472561,-0.62750083,0.542316,-0.21169369,0.8553298,-0.6750829,-0.10401399,-0.5644899,-0.6301678,-2.061099,0.3415011,1.2765467,-0.057297233,0.6627104,-1.5996559,-1.1481999,-1.6098354,0.47169587,-0.9565636,-0.8341352,-0.15466444,-1.0944471,-0.7773648,-0.71693504,-0.6660942,-1.0146348,-1.3531524,-1.246793,-1.4474881,-1.2408556,0.48795557,-1.1868515,-0.8923963,-0.7153245,-0.694382,-0.005668026,-0.9566311,-1.2801574,-1.2930038,-0.822384,-0.5994709,-1.3053957,-1.131,0.03046195,-0.49319223,-0.44644797,-0.5751026,-1.287853,-0.107302286,-0.6126825,-0.97981477,-0.80648017,-0.50092155,-0.225338,-0.791883,-0.5443364,-0.89747006,-0.9486548,-1.0609978,-1.0691069,-1.1097796,-0.90080214,-1.1662872,-1.3300946,0.09779646,-0.38043225,-1.2386199,-0.46891809,-1.1727619,-0.8922962,0.24970457,-1.8494437,-0.320448,-1.3679882,-1.3246555,-1.2530675,-0.07348098,-1.4262339,-0.22354384,-1.2654608,0.114910655,-1.8527304,-0.16292743,-0.09658242,-0.2539284,0.12058261,0.0498592,-0.10645738,-0.27498573,-0.6382592,-0.58670306,-0.14792477,0.18438792,0.1883869,-0.32078034,-0.14092314,-0.68968076,-0.033493906,-0.5189708,-0.7857193,-0.24044675,-0.45792732,0.084615454,0.095277645,0.1720178,0.6922823,0.30321044,-0.117357574,0.6975934,-0.030902129,-1.2069086,1.580317,-0.61036146,1.6273048,0.5928108,0.45599586,0.4517635,0.9370466,0.73299253,-0.5941499,0.0,0.95256686,-0.53198045,1.0188832,0.64854205,0.22130415,-0.6480593,1.0333244,0.96605635,1.1259559,0.68565935,0.56744504,0.88681227,0.4297505,71.12245787804795,18.318859296791047,66.02364457824642,50.801714399472196,72.6510814871367,209.62315358520127,21.046820316405547,14.7619631573577,17.292192023973005,20.598675563978713,250.02996457922893,43.26460472900796,84.68679877197879
